redirect_id,old_urls,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,parsed_at,method
page_1_1,додати,,/,Структура сайту,Головна,4,1,1,0,2025-08-20T22:09:31.802040,super_optimized_evaluate_all
page_1_2,додати,/katalog,/,Структура сайту,Каталог,4,97,1,1,2025-08-20T22:09:31.802064,super_optimized_evaluate_all
page_1_117,додати,/novosti/garantiynoe-obsluzhivanie,/,Новини,,172,13,1,2,2025-08-20T22:09:31.802067,super_optimized_evaluate_all
page_1_118,додати,/oplata-i-dostavka,/,Структура сайту,Оплата і доставка,4,928,1,3,2025-08-20T22:09:31.802068,super_optimized_evaluate_all
page_1_119,додати,/obmin-ta-povernennya,/,Структура сайту,Обмін та повернення,4,573,1,4,2025-08-20T22:09:31.802069,super_optimized_evaluate_all
page_1_120,додати,/pro-nas,/,Структура сайту,Про нас,4,927,1,5,2025-08-20T22:09:31.802070,super_optimized_evaluate_all
page_1_121,додати,/kontaktna-informatsiya,/,Структура сайту,Контактна інформація,4,686,1,6,2025-08-20T22:09:31.802072,super_optimized_evaluate_all
page_1_141,додати,/one-brand,/,Бренди,ONE,349,92,1,7,2025-08-20T22:09:31.802074,super_optimized_evaluate_all
page_1_142,додати,/skins,/,Бренди,Skins,349,87,1,8,2025-08-20T22:09:31.802075,super_optimized_evaluate_all
page_1_144,додати,/exs-brand,/,Бренди,EXS,349,89,1,9,2025-08-20T22:09:31.802076,super_optimized_evaluate_all
page_1_145,додати,/pasante-brand,/,Бренди,Pasante,349,90,1,10,2025-08-20T22:09:31.802077,super_optimized_evaluate_all
page_1_146,додати,/skyn-brand,/,Бренди,SKYN,349,91,1,11,2025-08-20T22:09:31.802079,super_optimized_evaluate_all
page_1_168,додати,/upakovky,/,Структура сайту,Упаковки презервативів,4,1005,1,12,2025-08-20T22:09:31.802080,super_optimized_evaluate_all
page_1_169,додати,/keisy,/,Структура сайту,Кейси для презервативів,4,1006,1,13,2025-08-20T22:09:31.802081,super_optimized_evaluate_all
page_1_171,додати,/lubrykanty,/,Структура сайту,Лубриканти,4,1008,1,14,2025-08-20T22:09:31.802082,super_optimized_evaluate_all
