redirect_id,original_redirect_id,old_url,url_input_id,is_input_element,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,url_index,parsed_at,method
page_1_1_url_0,1,/ru/prykoly/,24685,True,,/,Структура сайту,Головна,4,1,1,0,0,2025-08-20T22:24:23.100509,super_optimized_evaluate_all_with_inputs
page_1_1_url_1,1,/security/OAuthRedirect/?soc=google&back=/preparatdliapotentsyyusagoldant-11/,24693,True,,/,Структура сайту,Головна,4,1,1,0,1,2025-08-20T22:24:23.100530,super_optimized_evaluate_all_with_inputs
page_1_2_url_0,2,/katalog,24740,True,/katalog,/,Структура сайту,Каталог,4,97,1,1,0,2025-08-20T22:24:23.100536,super_optimized_evaluate_all_with_inputs
page_1_117_url_0,117,/novosti/garantiynoe-obsluzhivanie,24741,True,/novosti/garantiynoe-obsluzhivanie,/,Новини,,172,13,1,2,0,2025-08-20T22:24:23.100538,super_optimized_evaluate_all_with_inputs
page_1_118_url_0,118,/oplata-i-dostavka,24742,True,/oplata-i-dostavka,/,Структура сайту,Оплата і доставка,4,928,1,3,0,2025-08-20T22:24:23.100540,super_optimized_evaluate_all_with_inputs
page_1_119_url_0,119,/obmen-i-vozvrat/,5,True,/obmin-ta-povernennya,/,Структура сайту,Обмін та повернення,4,573,1,4,0,2025-08-20T22:24:23.100542,super_optimized_evaluate_all_with_inputs
page_1_119_url_1,119,/obmin-ta-povernennya,24743,True,/obmin-ta-povernennya,/,Структура сайту,Обмін та повернення,4,573,1,4,1,2025-08-20T22:24:23.100544,super_optimized_evaluate_all_with_inputs
page_1_120_url_0,120,/o-nas/,3,True,/pro-nas,/,Структура сайту,Про нас,4,927,1,5,0,2025-08-20T22:24:23.100546,super_optimized_evaluate_all_with_inputs
page_1_120_url_1,120,/pro-nas,24744,True,/pro-nas,/,Структура сайту,Про нас,4,927,1,5,1,2025-08-20T22:24:23.100547,super_optimized_evaluate_all_with_inputs
page_1_121_url_0,121,/contacts/,56,True,/kontaktna-informatsiya,/,Структура сайту,Контактна інформація,4,686,1,6,0,2025-08-20T22:24:23.100549,super_optimized_evaluate_all_with_inputs
page_1_121_url_1,121,/kontaktna-informatsiya,24745,True,/kontaktna-informatsiya,/,Структура сайту,Контактна інформація,4,686,1,6,1,2025-08-20T22:24:23.100551,super_optimized_evaluate_all_with_inputs
page_1_141_url_0,141,/one-brand,24746,True,/one-brand,/,Бренди,ONE,349,92,1,7,0,2025-08-20T22:24:23.100553,super_optimized_evaluate_all_with_inputs
page_1_142_url_0,142,/skins,24747,True,/skins,/,Бренди,Skins,349,87,1,8,0,2025-08-20T22:24:23.100554,super_optimized_evaluate_all_with_inputs
page_1_144_url_0,144,/exs-brand,24748,True,/exs-brand,/,Бренди,EXS,349,89,1,9,0,2025-08-20T22:24:23.100556,super_optimized_evaluate_all_with_inputs
page_1_145_url_0,145,/pasante-brand,24749,True,/pasante-brand,/,Бренди,Pasante,349,90,1,10,0,2025-08-20T22:24:23.100557,super_optimized_evaluate_all_with_inputs
page_1_146_url_0,146,/skyn-brand,24750,True,/skyn-brand,/,Бренди,SKYN,349,91,1,11,0,2025-08-20T22:24:23.100559,super_optimized_evaluate_all_with_inputs
page_1_168_url_0,168,/upakovky,24751,True,/upakovky,/,Структура сайту,Упаковки презервативів,4,1005,1,12,0,2025-08-20T22:24:23.100561,super_optimized_evaluate_all_with_inputs
page_1_169_url_0,169,/keisy,24752,True,/keisy,/,Структура сайту,Кейси для презервативів,4,1006,1,13,0,2025-08-20T22:24:23.100562,super_optimized_evaluate_all_with_inputs
